Filename,Desired result,Hetrify Result,Hetrify Time
arith.rs,T,T,0.31
iterator.rs,T,T,0.32
fib.rs,T,TIMEOUT,300
double.rs,T,T,0.29
mul_fail.rs,F,F,0.29
gauss_sum_nondet.rs,T,T,0.32
closure_fail.rs,F,F,0.3
closure.rs,T,T,0.3
arith_assume2.rs,T,T,0.31
fac.rs,T,T,0.32
double_fail.rs,F,F,0.31
generic_function.rs,T,T,0.31
generic_function_fail1.rs,F,F,0.3
arith_assume_fail.rs,F,F,0.32
add_fail.rs,F,F,0.32
iterator_fail.rs,F,F,0.31
gauss_sum_nondet_fail.rs,F,F,0.32
fib_fail.rs,F,TIMEOUT,300
generic_function_fail2.rs,F,F,0.31
generic_function_fail4.rs,F,F,0.34
mod_fail.rs,F,F,0.32
arith_assume.rs,T,T,0.3
sub_fail.rs,F,F,0.32
generic_function_fail5.rs,F,F,0.32
fac_fail.rs,F,F,0.32
generic_function_fail3.rs,F,F,0.31
div_fail.rs,F,F,0.31
